event_id,start_time,end_time,on_street 
465,2020-01-29 11:06:34,2020-01-29 13:24:34,609 N Heliotrope Dr
612,2020-01-29 11:06:34,2020-01-29 13:16:34,Silver Alert
1,2020-01-29 11:08:35,2020-01-29 23:01:48,Media Log
1187,2020-01-29 11:37:19,2020-01-29 12:03:34,1740 W Willow St
1262,2020-01-29 11:50:34,2020-01-29 11:53:38,Harbor Vista Dr / Malibu Canyon Rd
1496,2020-01-29 13:02:34,2020-01-29 13:02:34,N Pasadena Ave / Rosewood Ln
1393,2020-01-29 12:30:34,2020-01-29 12:30:34,Columbus Ave / Camarillo St
1497,2020-01-29 13:02:34,2020-01-29 13:02:34,12361-12490 Foothill Blvd
1547,2020-01-29 13:22:34,2020-01-29 13:22:34,533 N Victory Blvd
1683,2020-01-29 14:08:35,2020-01-29 14:08:35,Kittridge St / Laurel Canyon Blvd
1718,2020-01-29 14:20:34,2020-01-29 14:24:34,Sr91 W / S Vermont Ave
1796,2020-01-29 14:46:34,2020-01-29 15:22:44,13100-13127 Gladstone Ave
1702,2020-01-29 14:14:34,2020-01-29 14:14:34,Clark Ave / Cedar St
1891,2020-01-29 15:16:34,2020-01-29 15:21:34,W 7th St / Oro Ter
2543,2020-01-29 18:10:34,2020-01-29 18:10:34,S Vermont Ave / W Artesia Blvd
2580,2020-01-29 18:20:35,2020-01-29 18:22:34,W Beverly Blvd / Via Altamira
2710,2020-01-29 19:04:34,2020-01-29 19:09:33,I210 E / N Mountain Ave
2757,2020-01-29 19:21:33,2020-01-29 19:21:33,Unnamed Street
2759,2020-01-29 19:22:35,2020-01-29 19:41:38,6300 Bristol Pkwy
2946,2020-01-29 20:39:33,2020-01-29 20:44:34,S Sunflower Ave / E Gladstone St
2989,2020-01-29 21:01:44,2020-01-29 22:09:44,777 W Washington Blvd
2938,2020-01-29 20:34:34,2020-01-29 20:34:34,183rd St / Studebaker Rd
3010,2020-01-29 21:15:35,2020-01-29 23:06:34,777 W Washington Blvd
3084,2020-01-29 21:45:55,2020-01-29 23:05:38,Sr91 E / S Vermont Ave
3123,2020-01-29 22:10:34,2020-01-29 23:02:34,2901 W Broadway
